ax,ay,az,qw,qx,qy,qz,droll,dpitch,dyaw,heart,Scenario_Label,Fall
0.064,0.023,-0.122,-0.7072,0.1079,-0.58,0.3894,8.6,-3.3,0.7,1023,bed,0
0.021,0.049,-0.119,-0.7072,0.1068,-0.5794,0.3906,10.4,1.7,2.5,1023,bed,0
-0.004,0.09,-0.126,-0.7076,0.1062,-0.578,0.3921,11.4,7.2,5.8,1023,bed,0
0.007,0.113,-0.151,-0.7083,0.1062,-0.5758,0.3941,12.7,13.8,9.9,1023,bed,0
-0.005,0.114,-0.155,-0.7096,0.1071,-0.5723,0.3968,14.6,23.0,14.8,1023,bed,0
-0.008,0.067,-0.152,-0.7114,0.1088,-0.5674,0.3999,15.7,31.9,19.3,0,bed,0
-0.005,0.088,-0.114,-0.7138,0.1115,-0.5613,0.4035,16.8,40.8,24.1,0,bed,0
-0.035,0.1,-0.021,-0.7165,0.1146,-0.5546,0.4071,15.5,45.2,28.0,0,bed,0
-0.028,0.076,0.03,-0.7194,0.1185,-0.5471,0.411,11.3,45.3,29.7,0,bed,0
-0.01,0.055,0.014,-0.722,0.1232,-0.5398,0.4146,6.1,44.7,31.3,0,bed,0
-0.032,0.051,-0.006,-0.7241,0.129,-0.5332,0.4179,-2.8,45.2,34.0,0,bed,0
-0.087,0.01,0.039,-0.7255,0.1363,-0.5269,0.421,-6.6,41.6,36.5,0,bed,0
-0.069,0.016,0.015,-0.7264,0.1434,-0.5206,0.4249,-0.2,37.9,38.6,0,bed,0
-0.065,0.1,0.036,-0.727,0.1493,-0.5145,0.4293,2.7,32.8,40.0,0,bed,0
-0.097,0.054,0.033,-0.7275,0.1543,-0.5086,0.4337,2.4,29.2,34.6,0,bed,0
-0.051,-0.027,0.023,-0.7274,0.1605,-0.5041,0.4367,-19.4,27.7,30.7,0,bed,0
-0.038,-0.051,-0.042,-0.7262,0.1702,-0.5021,0.4374,-41.2,27.2,34.1,0,bed,0
-0.018,-0.018,-0.037,-0.724,0.1815,-0.5012,0.4376,-44.4,26.1,41.1,0,bed,0
-0.042,0.054,0.006,-0.7213,0.1929,-0.5,0.4385,-43.7,22.3,45.1,0,bed,0
-0.06,0.088,0.027,-0.7183,0.2036,-0.4987,0.4401,-42.0,17.8,48.1,0,bed,0
